game_name,stars,mapped_ranking
Dungeons and Dragons Onslaught,2,4
Elden Ring: The Board Game – Stormveil Castle,2,4
Elevenses: The Guilty Party,2,4
Esc Welt Breakout Games,2,4
Fairy Lights,2,4
Far Space Foundry,2,4
FourCuatro,2,4
Gen7,2,4
Gnomi,2,4
Godsforge,2,4
GoTown,2,4
Harry Potter: House Cup Competition,2,4
Head Hackers,2,4
Incantris,2,4
Islands in the Mist,2,4
Isle of Monsters,2,4
Ixi Kix,2,4
Jabuka,2,4
Jurassic World: The Legacy of Isla Nublar,2,4
Kamikaze Chess,2,4
Little Book of Battle Mats,2,4
Lucky Jack,2,4
Machinate,2,4
Mass Effect: The Board Game – Priority: Hagalaz,2,4
Master of Orion: Conquest,2,4
Moku Tower,2,4
Nevada City,2,4
Outpost: Amazon,2,4
Paper App Dungeon,2,4
Pikoko,2,4
Pirate Lords,2,4
Planet of the Apes,2,4
Qwixx: The Card Game,2,4
"Ready, Set, Bet",2,4
Res Publica: 2230AD,2,4
Rhein: River Trade,2,4
Royal Bastards,2,4
Sea King Adventures,2,4
SideQuest: 7th Sea,2,4
Slambo!,2,4
Snatch the Pebble,2,4
Squirrel or Die,2,4
Star Trek: Conflick in the Neutral Zone,2,4
Stellium,2,4
Super Squad High,2,4
Sushi Go!: Spin Some for Dim Sum,2,4
Tambuzi,2,4
The Voyage of Argo,2,4
The Walking Dead: The Dice Game,2,4
This Game Goes to Eleven,2,4
Tiny Tina’s Robot Tea Party,2,4
USPS: The Great American Mail Race,2,4
Valhal,2,4
Vampires vs Unicorns: Floor Wars,2,4
Warehouse 51,2,4
Wobble King,2,4
7th Guest,1.5,3
Blind Spot,1.5,3
Cthulhu: The Great Old One,1.5,3
Daemon Trilogy: Subrosa,1.5,3
Dune Betrayal,1.5,3
Empires at Sea,1.5,3
Europa Base Alpha,1.5,3
Food Truck Entrepreneur,1.5,3
GoVenture,1.5,3
Hengist,1.5,3
Kartel,1.5,3
Marvel Contest of Champions: Battlerealm,1.5,3
Marvel: Damage Control,1.5,3
Mini Dinosaur,1.5,3
Necronomicards,1.5,3
Outpost: Siberia,1.5,3
Power 1,1.5,3
Red Sonja: Hyrkania’s Legacy,1.5,3
Rorschach,1.5,3
Shapers of Gaia,1.5,3
Tavern Masters,1.5,3
The Amberden Affair,1.5,3
The Coldest Night,1.5,3
Tokyo Game Show,1.5,3
Who Should We Eat,1.5,3
World War Z: The Game,1.5,3
Death Battle!,1,2
Detective Rummy,1,2
Far Cry: Escape from Rook Islands,1,2
President Bigly,1,2
Space Invaders: Dice,1,2
Super Hack Override,1,2
TopSpin,1,2
